Strain,Accession ID,Collection date,lineage,scorpio_call,Location
hCoV-19/USA/AK-CDC-2-5672851/2022,EPI_ISL_10908869,1/18/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-QDX21803543/2021,EPI_ISL_1091028,2/5/2021,B.1.429,Epsilon (B.1.429-like),Unspecified
hCoV-19/USA/AK-CDC-QDX21804109/2021,EPI_ISL_1091062,2/4/2021,B.1.429,Epsilon (B.1.429-like),Unspecified
hCoV-19/USA/AK-CDC-QDX21803962/2021,EPI_ISL_1091064,2/4/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-QDX21803856/2021,EPI_ISL_1091077,2/4/2021,B.1.429,Epsilon (B.1.429-like),Unspecified
hCoV-19/USA/AK-CDC-QDX21803437/2021,EPI_ISL_1091080,2/4/2021,B.1.429,Epsilon (B.1.429-like),Unspecified
hCoV-19/USA/AK-CDC-2-3845938/2021,EPI_ISL_1094238,1/11/2021,B.1.443,,Unspecified
hCoV-19/USA/AK-CDC-2-3829823/2021,EPI_ISL_1094272,1/4/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845829/2021,EPI_ISL_1094319,1/20/2021,B.1.1.434,,Unspecified
hCoV-19/USA/AK-CDC-2-3829838/2021,EPI_ISL_1094353,1/6/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3829919/2021,EPI_ISL_1094366,1/4/2021,B.1.1,,Unspecified
hCoV-19/USA/AK-CDC-2-3845936/2021,EPI_ISL_1094380,1/11/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3829810/2021,EPI_ISL_1094707,1/8/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845943/2021,EPI_ISL_1094708,1/12/2021,B.1.561,,Unspecified
hCoV-19/USA/AK-CDC-2-3845948/2021,EPI_ISL_1094709,1/11/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3829835/2021,EPI_ISL_1094710,1/3/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3829930/2021,EPI_ISL_1094711,1/8/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3829906/2021,EPI_ISL_1094712,1/5/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845850/2021,EPI_ISL_1094713,1/11/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3829937/2021,EPI_ISL_1094714,1/4/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3829931/2021,EPI_ISL_1094715,1/6/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845949/2021,EPI_ISL_1094716,1/17/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845907/2021,EPI_ISL_1094717,1/15/2021,B.1.336,,Unspecified
hCoV-19/USA/AK-CDC-2-3845950/2021,EPI_ISL_1094718,1/12/2021,B.1.596,,Unspecified
hCoV-19/USA/AK-CDC-2-3829905/2021,EPI_ISL_1094719,1/12/2021,B.1.429,Epsilon (B.1.429-like),Unspecified
hCoV-19/USA/AK-PHL18361/2022,EPI_ISL_10952205,1/22/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18363/2022,EPI_ISL_10952206,1/22/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18364/2022,EPI_ISL_10952207,1/22/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18366/2022,EPI_ISL_10952208,1/22/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18368/2022,EPI_ISL_10952209,3/2/2022,BA.2.3,Omicron (BA.2-like),Interior
hCoV-19/USA/AK-PHL18372/2022,EPI_ISL_10952210,2/28/2022,BA.1.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL18374/2022,EPI_ISL_10952211,2/27/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18375/2022,EPI_ISL_10952212,2/27/2022,BA.1.1,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18376/2022,EPI_ISL_10952213,2/27/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18378/2022,EPI_ISL_10952214,2/26/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18379/2022,EPI_ISL_10952215,2/25/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18383/2022,EPI_ISL_10952216,2/16/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18385/2022,EPI_ISL_10952217,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18386/2022,EPI_ISL_10952218,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18387/2022,EPI_ISL_10952219,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18389/2022,EPI_ISL_10952220,2/23/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18390/2022,EPI_ISL_10952221,2/23/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18391/2022,EPI_ISL_10952222,2/23/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18392/2022,EPI_ISL_10952223,2/23/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18393/2022,EPI_ISL_10952224,2/23/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18394/2022,EPI_ISL_10952225,2/15/2022,BA.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18396/2022,EPI_ISL_10952226,2/24/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18399/2022,EPI_ISL_10952227,2/28/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18401/2022,EPI_ISL_10952228,2/25/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18403/2022,EPI_ISL_10952229,2/24/2022,BA.1.16,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18404/2022,EPI_ISL_10952230,2/24/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18405/2022,EPI_ISL_10952231,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18406/2022,EPI_ISL_10952232,2/24/2022,BA.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18407/2022,EPI_ISL_10952233,2/23/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18408/2022,EPI_ISL_10952234,2/23/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18409/2022,EPI_ISL_10952235,2/22/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18412/2022,EPI_ISL_10952236,2/22/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18413/2022,EPI_ISL_10952237,2/22/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18416/2022,EPI_ISL_10952238,2/19/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18417/2022,EPI_ISL_10952239,2/19/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18418/2022,EPI_ISL_10952240,2/21/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18419/2022,EPI_ISL_10952241,2/24/2022,BA.1.20,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18420/2022,EPI_ISL_10952242,2/21/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18421/2022,EPI_ISL_10952243,2/19/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18422/2022,EPI_ISL_10952244,2/19/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18424/2022,EPI_ISL_10952245,2/19/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18425/2022,EPI_ISL_10952246,2/21/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18428/2022,EPI_ISL_10952247,2/17/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18430/2022,EPI_ISL_10952248,2/17/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18431/2022,EPI_ISL_10952249,2/17/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18433/2022,EPI_ISL_10952250,2/18/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18434/2022,EPI_ISL_10952251,2/18/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18436/2022,EPI_ISL_10952252,2/18/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18437/2022,EPI_ISL_10952253,2/21/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18440/2022,EPI_ISL_10952254,2/21/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18443/2022,EPI_ISL_10952255,2/16/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18445/2022,EPI_ISL_10952256,2/24/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18446/2022,EPI_ISL_10952257,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18447/2022,EPI_ISL_10952258,2/24/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18449/2022,EPI_ISL_10952259,2/24/2022,BA.1.15,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18450/2022,EPI_ISL_10952260,2/24/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18451/2022,EPI_ISL_10952261,2/24/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18452/2022,EPI_ISL_10952262,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-CDC-2-3845836/2021,EPI_ISL_1095227,1/14/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845901/2021,EPI_ISL_1095228,1/22/2021,B.1.517,,Unspecified
hCoV-19/USA/AK-CDC-2-3845927/2021,EPI_ISL_1095229,1/15/2021,B.1.577,,Unspecified
hCoV-19/USA/AK-CDC-2-3845935/2021,EPI_ISL_1095230,1/25/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845906/2021,EPI_ISL_1095231,1/12/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-CDC-2-3845830/2021,EPI_ISL_1095232,1/11/2021,B.1.2,,Unspecified
hCoV-19/USA/AK-PHL18173/2022,EPI_ISL_10952388,2/14/2022,BA.1,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18177/2022,EPI_ISL_10952389,2/16/2022,BA.1.1.18,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18181/2022,EPI_ISL_10952390,2/16/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18182/2022,EPI_ISL_10952391,2/14/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18184/2022,EPI_ISL_10952392,2/15/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18185/2022,EPI_ISL_10952393,2/14/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18186/2022,EPI_ISL_10952394,2/15/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18187/2022,EPI_ISL_10952395,2/16/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18193/2022,EPI_ISL_10952396,2/17/2022,BA.1.1.18,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18194/2022,EPI_ISL_10952397,2/18/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18199/2022,EPI_ISL_10952398,2/16/2022,BA.1.15.2,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18201/2022,EPI_ISL_10952399,2/22/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18203/2022,EPI_ISL_10952400,2/22/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18204/2022,EPI_ISL_10952401,2/22/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18205/2022,EPI_ISL_10952402,2/14/2022,BA.1.1,Probable Omicron (BA.1-like),Northern
hCoV-19/USA/AK-PHL18206/2022,EPI_ISL_10952403,2/9/2022,BA.1.1,Probable Omicron (BA.1-like),Northern
hCoV-19/USA/AK-PHL18208/2022,EPI_ISL_10952404,2/15/2022,BA.2.3,Omicron (BA.2-like),Northern
hCoV-19/USA/AK-PHL18213/2022,EPI_ISL_10952405,2/18/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18214/2022,EPI_ISL_10952406,2/21/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18215/2022,EPI_ISL_10952407,2/19/2022,BA.1.20,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18216/2022,EPI_ISL_10952408,2/21/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18217/2022,EPI_ISL_10952409,2/20/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18218/2022,EPI_ISL_10952410,2/21/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18222/2022,EPI_ISL_10952411,2/19/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18227/2022,EPI_ISL_10952412,2/20/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18228/2022,EPI_ISL_10952413,2/18/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18229/2022,EPI_ISL_10952414,2/20/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18230/2022,EPI_ISL_10952415,2/19/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18231/2022,EPI_ISL_10952416,2/23/2022,BA.1.20,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL18237/2022,EPI_ISL_10952417,2/22/2022,BA.1.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL18241/2022,EPI_ISL_10952418,2/13/2022,BA.1.15,Omicron (BA.1-like),Northern
hCoV-19/USA/AK-PHL18244/2022,EPI_ISL_10952419,2/14/2022,BA.2.3,Omicron (BA.2-like),Northern
hCoV-19/USA/AK-PHL18245/2022,EPI_ISL_10952420,2/16/2022,BA.1.1,Probable Omicron (BA.1-like),Northern
hCoV-19/USA/AK-PHL18249/2022,EPI_ISL_10952421,2/15/2022,BA.2.3,Omicron (BA.2-like),Northern
hCoV-19/USA/AK-PHL18252/2022,EPI_ISL_10952422,2/17/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18257/2022,EPI_ISL_10952423,2/17/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18261/2022,EPI_ISL_10952424,2/23/2022,BA.1.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL18262/2022,EPI_ISL_10952425,2/20/2022,BA.1.1,Probable Omicron (BA.1-like),Southwest
hCoV-19/USA/AK-PHL18263/2022,EPI_ISL_10952426,2/27/2022,BA.1.1,Omicron (BA.1-like),Southwest
hCoV-19/USA/AK-PHL18264/2022,EPI_ISL_10952427,2/12/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-CDC-LC0556601/2022,EPI_ISL_10957741,2/14/2022,BA.1.17,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0556586/2022,EPI_ISL_10957742,2/14/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0556609/2022,EPI_ISL_10957743,2/14/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0556646/2022,EPI_ISL_10957744,2/14/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557092/2022,EPI_ISL_10957810,2/15/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557126/2022,EPI_ISL_10957817,2/15/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557127/2022,EPI_ISL_10957967,2/16/2022,BA.1.15,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557115/2022,EPI_ISL_10957970,2/16/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557098/2022,EPI_ISL_10957971,2/16/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557099/2022,EPI_ISL_10957972,2/16/2022,BA.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557090/2022,EPI_ISL_10957973,2/16/2022,BA.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557091/2022,EPI_ISL_10957982,2/16/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557070/2022,EPI_ISL_10958009,2/17/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557103/2022,EPI_ISL_10958066,2/17/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557102/2022,EPI_ISL_10958067,2/17/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557108/2022,EPI_ISL_10958097,2/18/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557710/2022,EPI_ISL_10958236,2/25/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557711/2022,EPI_ISL_10958245,2/25/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557771/2022,EPI_ISL_10958296,2/26/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557781/2022,EPI_ISL_10958381,2/28/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0557773/2022,EPI_ISL_10958382,2/28/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-ASU51953/2022,EPI_ISL_11011501,1/19/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18362/2022,EPI_ISL_11017946,1/22/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18367/2022,EPI_ISL_11017947,3/2/2022,BA.2.3,Omicron (BA.2-like),Interior
hCoV-19/USA/AK-PHL18369/2022,EPI_ISL_11017948,3/2/2022,BA.2.3,Omicron (BA.2-like),Interior
hCoV-19/USA/AK-PHL18370/2022,EPI_ISL_11017949,2/28/2022,BA.1.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL18395/2022,EPI_ISL_11017950,2/15/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18429/2022,EPI_ISL_11017951,2/17/2022,BA.1.1,Probable Omicron (Unassigned),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18435/2022,EPI_ISL_11017952,2/18/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18441/2022,EPI_ISL_11017953,2/21/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18444/2022,EPI_ISL_11017954,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18266/2022,EPI_ISL_11018303,2/10/2022,BA.1.1,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18268/2022,EPI_ISL_11018304,2/17/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18269/2022,EPI_ISL_11018305,2/22/2022,BA.1.15,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18274/2022,EPI_ISL_11018306,2/17/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18275/2022,EPI_ISL_11018307,2/17/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18276/2022,EPI_ISL_11018308,2/17/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18277/2022,EPI_ISL_11018309,2/17/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18279/2022,EPI_ISL_11018310,2/21/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18282/2022,EPI_ISL_11018311,2/9/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18283/2022,EPI_ISL_11018312,2/8/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18288/2022,EPI_ISL_11018313,2/17/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18290/2022,EPI_ISL_11018314,2/18/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18291/2022,EPI_ISL_11018315,2/18/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18293/2022,EPI_ISL_11018316,2/22/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18294/2022,EPI_ISL_11018317,2/21/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18297/2022,EPI_ISL_11018318,2/15/2022,BA.1.1.18,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18298/2022,EPI_ISL_11018319,2/14/2022,BA.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18300/2022,EPI_ISL_11018320,2/17/2022,BA.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18302/2022,EPI_ISL_11018321,2/22/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18304/2022,EPI_ISL_11018322,2/21/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18305/2022,EPI_ISL_11018323,2/22/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18306/2022,EPI_ISL_11018324,2/22/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18307/2022,EPI_ISL_11018325,2/22/2022,BA.2.3,Omicron (BA.2-like),Interior
hCoV-19/USA/AK-PHL18308/2022,EPI_ISL_11018326,2/22/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18312/2022,EPI_ISL_11018327,2/24/2022,BA.1.15,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18313/2022,EPI_ISL_11018328,2/24/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18315/2022,EPI_ISL_11018329,2/23/2022,BA.1.15,Probable Omicron (BA.1-like),Southwest
hCoV-19/USA/AK-PHL18318/2022,EPI_ISL_11018330,2/25/2022,BA.1.1,Probable Omicron (BA.1-like),Southwest
hCoV-19/USA/AK-PHL18320/2022,EPI_ISL_11018331,2/27/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18321/2022,EPI_ISL_11018332,2/21/2022,BA.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18322/2022,EPI_ISL_11018333,2/24/2022,BA.2.3,Omicron (BA.2-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL18323/2022,EPI_ISL_11018334,2/24/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18324/2022,EPI_ISL_11018335,1/19/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18325/2022,EPI_ISL_11018336,1/19/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18333/2022,EPI_ISL_11018337,2/10/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18334/2022,EPI_ISL_11018338,2/14/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL18335/2022,EPI_ISL_11018339,2/15/2022,BA.1.1,Omicron (BA.1-like),Northern
hCoV-19/USA/AK-PHL18338/2022,EPI_ISL_11018340,2/27/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18341/2022,EPI_ISL_11018341,2/23/2022,BA.1.1,Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL18343/2022,EPI_ISL_11018342,2/22/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18345/2022,EPI_ISL_11018343,2/23/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL18347/2022,EPI_ISL_11018344,2/23/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
